Datum,Aantal,Locatie,Latitude,Longitude
2025-09-23,1,Amsterdam - Nieuwe Meer - Oeverlanden Noord (Noord-Holland),,
2025-09-23,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2025-09-21,1,Amsterdam - Osdorper Binnenpolder-Noord (Noord-Holland),,
2025-09-21,1,Amsterdam - IJburg (Noord-Holland),52.3632604,4.9701148
2025-09-19,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2025-09-19,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2025-09-18,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2025-09-17,1,Amsterdamse Bos - Volkstuincomplex Sloterdijkermeer / Nut en Genoegen (Noord-Holland),,
2025-09-17,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2025-09-16,1,Amsterdam - De Aker (Noord-Holland),,
2025-09-16,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2025-09-16,1,Amsterdam - Siegerpark (Noord-Holland),,
2025-09-16,1,Amsterdam - Oost (Noord-Holland),,
2025-09-11,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2025-09-11,1,Amsterdamse Bos - Grote Vijver / Grote Speelweide (Noord-Holland),,
2025-09-11,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2025-09-04,1,Amsterdam - Nieuw Sloten (Noord-Holland),,
2025-09-03,1,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2025-09-03,1,Amsterdam - De Aker (Noord-Holland),,
2025-09-03,1,Amsterdam - Science Park (Noord-Holland),52.352926,4.948315
2025-09-03,1,Amsterdam - Vondelpark (Noord-Holland),52.3611389,4.8780228
2025-08-30,1,Amsterdam - Amstelpark (Noord-Holland),52.3260216,4.8938658
2025-08-30,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2025-08-30,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2025-08-30,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2025-08-28,1,Amsterdam - Noord (Noord-Holland),,
2025-08-27,1,Amsterdam - Noord (Noord-Holland),,
2025-08-27,1,Amsterdam - Noord (Noord-Holland),,
2025-08-21,1,Amsterdam - Groot-Duivendrechtse Polder (Noord-Holland),,
2025-08-19,1,Amsterdam - Anna’s Tuin & Ruigte (Noord-Holland),,
2025-08-07,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2025-08-07,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2025-08-06,1,Amsterdam - Nieuwe Oosterbegraafplaats (Noord-Holland),,
2025-08-05,1,Amsterdam - Nieuwe Levenskracht (Noord-Holland),,
2025-08-04,1,Amsterdam - Noord (Noord-Holland),,
2025-08-03,1,A10 - Amsterdam (Noord-Holland),52.4136545,4.8633149
2025-08-02,1,Amsterdam - Flevopark (Noord-Holland),,
2025-07-30,1,Amsterdam - Schellingwouderbreek (Noord-Holland),,
2025-07-30,1,Amsterdam - NT Klarenbeek (Noord-Holland),,
2025-07-28,1,Amsterdam - Zeeburg (Noord-Holland),52.3662433,4.9348472
2025-07-28,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2025-07-24,1,Amsterdam - Gaasperplas (Noord-Holland),52.3029013,4.9975172
2025-07-24,1,Amsterdam - Gerbrandypad (Noord-Holland),,
2025-07-23,1,Amsterdam - Gaasperplas (Noord-Holland),52.3029013,4.9975172
2025-07-22,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2025-07-22,1,Amsterdam - Zorgvlied (Noord-Holland),,
2025-07-15,1,Amsterdam - Lutkemeerpolder (Noord-Holland),,
2025-07-15,1,Amsterdam - AMC (Noord-Holland),52.2924635,4.9565766
2025-07-15,1,Amsterdam - Vondelpark (Noord-Holland),52.3611389,4.8780228
2025-07-15,1,Amsterdam - Melkweg (Noord-Holland),,
2025-07-09,1,Amsterdam - Heemtuin Vogeleiland (Noord-Holland),,
2025-07-08,30,Amsterdam - Siegerpark (Noord-Holland),,
2025-07-07,1,Amsterdam - Nieuwe Meer - Oeverlanden Noord (Noord-Holland),,
2025-07-06,15,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2025-07-06,1,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2025-06-29,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2025-06-29,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2025-06-23,1,Amsterdam - Nieuwe Meer - Oeverlanden Noord (Noord-Holland),,
2025-06-22,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2025-06-18,1,Amsterdam - Sloterpark (Noord-Holland),,
2025-06-14,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2025-06-10,1,Amsterdamse Bos - Kersenbloesempark (Noord-Holland),,
2025-06-10,1,Amsterdamse Bos - Kersenbloesempark (Noord-Holland),,
2025-06-06,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2025-06-04,1,Amsterdam - Science Park (Noord-Holland),52.352926,4.948315
2025-05-30,1,Amsterdam - Slotervaart (Noord-Holland),52.3483923,4.8411914
2025-05-29,1,Amsterdam - Volkstuincomplex Eendracht / Tigeno (Noord-Holland),,
2025-05-26,1,Amsterdamse Bos - Koenenkade (Noord-Holland),52.3281737,4.8357511
2025-05-15,1,Amsterdam - Schellingwouderbreek (Noord-Holland),,
2025-05-14,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2025-05-09,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2025-04-30,1,Amsterdam - Oosterpark (Noord-Holland),52.3582579,4.9161619
2025-04-28,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2025-04-23,1,Amsterdam - Flevopark (Noord-Holland),,
2025-04-15,1,Amsterdamse Bos - Koenenkade (Noord-Holland),52.3281737,4.8357511
2025-04-13,1,Amsterdamse Bos - Heuvel / Manege (Noord-Holland),,
2025-03-09,1,Amsterdam - Lutkemeerpolder (Noord-Holland),,
2025-02-14,1,Amsterdam - Flevopark (Noord-Holland),,
2025-01-06,1,Trekwaart Haarlem - Amsterdam (Noord-Holland),,
2024-12-17,1,Amsterdam - Watergraafsmeer (Noord-Holland),,
2024-12-12,1,Amsterdam - Oude Zijde noord (Noord-Holland),,
2024-11-25,1,Amsterdam - Sloterpark (Noord-Holland),,
2024-10-25,1,Amsterdam - Nieuwe Levenskracht (Noord-Holland),,
2024-10-13,1,Amsterdamse Bos - Koenenkade (Noord-Holland),52.3281737,4.8357511
2024-10-07,15,Amsterdam - Zuidoost (Noord-Holland),,
2024-10-06,1,Amsterdam - Gaasperpark (Noord-Holland),,
2024-10-04,1,Amsterdamse Bos (Noord-Holland),52.3115707,4.8283374
2024-10-04,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2024-10-04,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2024-10-04,1,Amsterdam - Gaasperzoom (Noord-Holland),,
2024-10-01,1,Amsterdam - Noord (Noord-Holland),,
2024-10-01,1,Amsterdam - Noord (Noord-Holland),,
2024-09-29,1,Amsterdam - Noorder IJ-Plas (Noord-Holland),,
2024-09-28,1,Amsterdam - Science Park (Noord-Holland),,
2024-09-26,1,Amsterdam - Airport Schiphol (Noord-Holland),52.3269801,4.7415053
2024-09-26,9,Amsterdamse Bos - Grote Vijver / Grote Speelweide (Noord-Holland),,
2024-09-25,1,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2024-09-25,1,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2024-09-25,1,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2024-09-25,2,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2024-09-23,5,Amsterdam - Flevopark (Noord-Holland),,
2024-09-23,2,Amsterdam - Flevopark (Noord-Holland),,
2024-09-15,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2024-09-15,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2024-09-14,1,Amsterdam - Nieuwe Meer - Oeverlanden Noord (Noord-Holland),,
2024-09-13,1,Amsterdam - Baanakkerspark (Noord-Holland),,
2024-09-13,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2024-09-09,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2024-09-08,1,Amsterdamse Bos (Noord-Holland),52.3115707,4.8283374
2024-09-08,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2024-09-07,1,Amsterdam - De Pijp (Noord-Holland),,
2024-09-07,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2024-09-07,1,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2024-09-06,1,Amsterdamse Bos - Grote Vijver / Grote Speelweide (Noord-Holland),,
2024-09-06,1,Amsterdamse Bos - Grote Vijver / Grote Speelweide (Noord-Holland),,
2024-09-06,1,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2024-09-06,1,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2024-09-06,1,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2024-09-06,1,Amsterdamse Bos - Grote Vijver / Grote Speelweide (Noord-Holland),,
2024-09-03,1,Amsterdam - Gaasperplas (Noord-Holland),52.3029013,4.9975172
2024-08-29,1,Amsterdam - Flevopark (Noord-Holland),,
2024-08-29,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2024-08-28,1,Amsterdam - Flevopark (Noord-Holland),,
2024-08-26,1,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2024-08-25,1,Amsterdam - Zuidoost (Noord-Holland),,
2024-08-24,1,Amsterdam - Vondelpark (Noord-Holland),52.3611389,4.8780228
2024-08-21,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2024-08-21,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2024-08-21,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2024-08-21,3,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2024-08-18,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2024-08-17,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2024-08-17,1,Amsterdam - Anna's Tuin & Ruigte (Noord-Holland),,
2024-08-15,1,Amsterdam - Golfbaan Waterland (Noord-Holland),52.405612,4.9522532
2024-08-15,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2024-08-15,1,Amsterdam - Sloterplas (Noord-Holland),,
2024-08-13,1,Amsterdam - Osdorper Bovenpolder (Noord-Holland),,
2024-08-12,1,Amsterdam - Gaasperpark (Noord-Holland),,
2024-08-05,1,Amsterdam - Slotervaart (Noord-Holland),52.3483923,4.8411914
2024-07-31,1,Amsterdam - Science Park (Noord-Holland),52.352926,4.948315
2024-07-30,1,Amsterdam - Schellingwouderscheg (Noord-Holland),,
2024-07-29,2,Amsterdam - De Hoge Dijk (Noord-Holland),,
2024-07-19,1,Amsterdam - Brettenzone (Noord-Holland),,
2024-07-19,1,Amsterdam - Brettenzone (Noord-Holland),,
2024-07-18,1,Amsterdam - Lutkemeerpolder (Noord-Holland),,
2024-07-17,1,A10 - Amsterdam (Noord-Holland),,
2024-07-17,2,A10 - Kadoelen (Noord-Holland),52.416458,4.8996599
2024-07-10,1,Amsterdam - Slotervaart (Noord-Holland),52.3483923,4.8411914
2024-07-03,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2024-07-09,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2024-07-07,1,Amsterdam - Noord (Noord-Holland),,
2024-07-07,1,Amsterdam - Noord (Noord-Holland),52.4097558,4.9319456
2024-07-05,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2024-07-05,1,Amsterdam - Oosterpark (Noord-Holland),52.3582579,4.9161619
2024-07-04,1,Amsterdam - Airport Schiphol (Noord-Holland),,
2024-07-04,1,Amsterdam - Schellingwouderscheg (Noord-Holland),,
2024-07-02,1,Amsterdam - Het Ruige Riet (Noord-Holland),,
2024-06-27,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2024-06-25,1,Amsterdamse Bos (Noord-Holland),52.3115707,4.8283374
2024-06-23,1,Amsterdam - Golfclub Olympus (Noord-Holland),,
2024-06-22,1,Amsterdam - AMC (Noord-Holland),52.2924635,4.9565766
2024-06-22,1,Amsterdam - AMC (Noord-Holland),52.2924635,4.9565766
2024-06-22,1,Amsterdam - Venselpoider (Noord-Holland),,
2024-06-20,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2024-06-20,1,Amsterdam - IJburg (Noord-Holland),52.3632604,4.9701148
2024-06-19,1,Amsterdam - Flevopark (Noord-Holland),,
2024-06-17,1,Amsterdam - Zuidoost (Noord-Holland),,
2024-06-17,1,Amsterdam - Zuidoost (Noord-Holland),,
2024-06-12,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2024-06-06,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2024-06-06,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2024-06-02,1,Amsterdam - Het Ruige Riet (Noord-Holland),,
2024-06-02,1,Amsterdam - Rembrandtpark (Noord-Holland),52.3681503,4.8442021
2024-05-31,1,Amsterdam - Volkstuincomplex Eendracht / Tigeno (Noord-Holland),,
2024-05-31,1,Amsterdam - Volkstuincomplex Eendracht / Tigeno (Noord-Holland),,
2024-05-16,1,Amsterdam - Brettenzone (Noord-Holland),,
2024-05-16,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2024-05-14,1,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2024-05-11,1,A10 - Amsterdam (Noord-Holland),52.4168435,4.8663301
2024-05-06,1,Amsterdam - Volkstuincomplex Eendracht / Tigeno (Noord-Holland),,
2024-05-04,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2024-05-03,1,Amsterdam - Groot-Duivendrechtse Polder (Noord-Holland),,
2024-05-02,1,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2024-05-02,1,Amsterdam - Martin Luther Kingpark (Noord-Holland),52.339414,4.9073368
2024-04-25,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2024-04-24,1,Amsterdamse Bos - Kleine Kinderbad (Noord-Holland),,
2024-04-14,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2024-04-14,1,Amsterdamse Bos - Polder Meerzicht (Noord-Holland),,
2024-04-10,1,Amsterdamse Bos - Polder Meerzicht (Noord-Holland),,
2024-04-03,1,Amsterdamse Bos - Kleine Vijver (Noord-Holland),,
2024-03-20,1,Amsterdamse Bos - Kleine Kinderbad (Noord-Holland),,
2024-03-13,3,Amsterdam - Watergraafsmeer (Noord-Holland),52.3442309,4.9557349
2023-10-21,20,Amsterdam - Geuzenveld-Slotermeer (Noord-Holland),,
2023-10-20,3,Amsterdamse Bos (Noord-Holland),52.3115707,4.8283374
2023-10-20,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-10-15,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2023-10-15,1,Amsterdam - NT Klarenbeek (Noord-Holland),,
2023-10-14,1,Amsterdam - Slotervaart (Noord-Holland),52.3483923,4.8411914
2023-10-03,1,Amsterdamse Bos - Polder Meerzicht (Noord-Holland),,
2023-10-04,1,Amsterdam - Gaasperpark (Noord-Holland),,
2023-10-04,1,Amsterdam - Gaasperpark (Noord-Holland),,
2023-10-04,1,Amsterdam - Gaasperpark (Noord-Holland),,
2023-10-03,1,Amsterdam - Gerbrandypad (Noord-Holland),,
2023-10-03,9,Amsterdam - Wilmkebreek - Tuinen (Noord-Holland),,
2023-10-02,1,Amsterdam-Rijkannal - t.h.v. Weesp (Noord-Holland),,
2023-10-02,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2023-09-23,1,Amsterdam - Lutkemeerpolder (Noord-Holland),,
2023-09-20,1,Amsterdam - Airport Schiphol (Noord-Holland),52.3269801,4.7415053
2023-09-16,1,Amsterdam - Nieuw Sloten (Noord-Holland),52.343233,4.8120467
2023-09-16,1,Amsterdam - Watergraafsmeer - Sportvelden (Noord-Holland),,
2023-09-15,1,Amsterdamse Waterleidingduinen - Engelse Bos / Huis te Vogelenzang (Noord-Holland),,
2023-09-14,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-09-13,1,Amsterdam - Nieuw Sloten (Noord-Holland),52.343233,4.8120467
2023-09-13,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2023-09-13,1,Amsterdam - Sloterpark (Noord-Holland),,
2023-09-12,1,Amsterdam - Nieuwe Diep - Nesciobrug (Noord-Holland),,
2023-09-12,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2023-09-05,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2023-09-05,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2023-09-04,1,Amsterdam - Gijsbrecht van Amstelpark (Noord-Holland),,
2023-09-03,1,Amsterdam - Noord (Noord-Holland),,
2023-09-03,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2023-09-02,1,Amsterdam - Gaasperpark (Noord-Holland),,
2023-09-02,1,Amsterdam - Vrije Geer (Noord-Holland),,
2023-09-01,1,Amsterdam - Noord (Noord-Holland),,
2023-09-01,1,Amsterdam - Gijsbrecht van Amstelpark (Noord-Holland),,
2023-09-01,1,Amsterdam - Gijsbrecht van Amstelpark (Noord-Holland),,
2023-09-01,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-08-31,1,Amsterdam - Noord (Noord-Holland),,
2023-08-22,1,Amsterdamse Bos (Noord-Holland),52.3115707,4.8283374
2023-08-22,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2023-08-18,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2023-08-10,1,Amsterdam - NT Klarenbeek (Noord-Holland),,
2023-08-08,1,Amsterdam - Indische Buurt (Noord-Holland),,
2023-08-08,1,Amsterdam - Schellingwoude (Noord-Holland),52.3836735,4.9452278
2023-08-08,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-08-07,1,Amsterdam - Beatrixpark (Noord-Holland),,
2023-08-07,1,Amsterdam - Het Ruige Riet (Noord-Holland),,
2023-08-07,1,Amsterdam - Osdorper Bovenpolder (Noord-Holland),,
2023-08-07,1,Amsterdam - Vondelpark (Noord-Holland),52.3611389,4.8780228
2023-08-06,1,Amsterdam - Baanakkerspark (Noord-Holland),,
2023-08-04,1,Amstel - t.h.v. Amsterdam (Noord-Holland),,
2023-08-04,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-08-04,1,Amsterdam - Schellingwouderbreek (Noord-Holland),,
2023-08-03,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-08-02,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-08-02,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-08-01,1,Amsterdam - Nieuwe Oosterbegraafplaats (Noord-Holland),,
2023-08-01,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2018-06-28,1,Amsterdam - Oost (Noord-Holland),,
2023-07-31,1,Amsterdam - Zorgvlied (Noord-Holland),,
2023-07-31,1,Amsterdam - Volkstuincomplex Sloterdijkermeer / Nut en Genoegen (Noord-Holland),,
2023-07-29,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2023-07-29,1,Amsterdam - Amstelpark (Noord-Holland),52.3260216,4.8938658
2023-07-29,1,Amsterdam - Gaasperpark (Noord-Holland),,
2023-07-25,1,Amsterdam - Sloterpark (Noord-Holland),,
2023-07-24,1,Amsterdam - Indische Buurt (Noord-Holland),,
2023-07-23,3,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-07-23,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-07-23,2,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-07-23,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-07-23,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-07-23,1,Amsterdam - Amstelpark (Noord-Holland),52.3260216,4.8938658
2023-07-17,3,Amsterdam - Rivierenbuurt (Noord-Holland),,
2023-07-16,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-11-07,1,A1 - Amsterdam tot Naarden (Noord-Holland),,
2023-10-07,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-10-07,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2023-09-07,2,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2023-08-07,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-07-07,1,Amsterdam - Sloterpark (Noord-Holland),,
2023-06-27,1,Amsterdam - Zuidoost (Noord-Holland),,
2023-06-17,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2023-06-16,1,Amsterdam - Sportpark Ookmeer (Noord-Holland),,
2023-05-06,1,Amsterdam - Nieuw Sloten (Noord-Holland),,
2023-05-24,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2023-06-05,1,Amsterdamse Bos - Polder Meerzicht (Noord-Holland),,
2023-06-05,1,Amsterdamse Bos - Polder Meerzicht (Noord-Holland),,
2023-03-05,1,Amsterdam - Indische Buurt (Noord-Holland),,
2023-04-13,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2023-02-04,1,Amsterdam - Beatrixpark (Noord-Holland),,
2023-03-29,1,Amsterdam - Beatrixpark (Noord-Holland),,
2023-03-19,5,Amsterdam - Gaasperplas (Noord-Holland),52.3029013,4.9975172
2023-03-15,1,Amsterdam Bos (Noord-Holland),,
2023-02-24,1,Amsterdam - Zorgvlied (Noord-Holland),,
2023-01-15,1,Amsterdam - Groot-Duivendrechtsche Polder (Noord-Holland),,
2023-01-13,1,Amsterdam - Watergraafsmeer - Sportvelden (Noord-Holland),,
2022-11-30,2,Amsterdam - Sloterpark (Noord-Holland),,
2022-11-30,4,Amsterdam - Sloterpark (Noord-Holland),,
2022-06-11,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2022-05-11,1,Amsterdam - Watergraafsmeer (Noord-Holland),52.3442309,4.9557349
2022-04-11,1,Amsterdamse Bos - Stoas Hooglanders / Camping (Noord-Holland),,
2022-10-23,1,Amsterdam - Gaasperplas (Noord-Holland),52.3029013,4.9975172
2022-10-23,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2022-10-23,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2022-10-15,1,Amsterdam - Sloterpark (Noord-Holland),,
2022-01-10,1,Amsterdam Bos - Zonneweide / Verlengde Oude Karselaan (Noord-Holland),,
2022-01-10,1,Amsterdamse Bos - Radar­terr­ein (Noord-Holland),,
2022-09-30,1,Amsterdam - Flevopark (Noord-Holland),,
2022-09-27,1,Amsterdamse Bos - Koenenkade (Noord-Holland),52.3281737,4.8357511
2022-09-25,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-09-24,1,Amsterdam - Sportpark Ookmeer (Noord-Holland),,
2022-09-14,1,Amsterdam - Airport Schiphol (Noord-Holland),52.3269801,4.7415053
2022-09-13,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-09-13,1,Amsterdam - Osdorpse Binnenpolder-Zuid (Noord-Holland),,
2022-11-09,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2022-10-09,1,Amsterdam - Sloterdijk (Noord-Holland),52.3890317,4.8381062
2022-08-09,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2022-07-09,1,Amsterdam - Gaasperpark (Noord-Holland),,
2022-07-09,1,Amsterdamse Bos - Radarterrein (Noord-Holland),,
2022-08-29,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-08-28,1,Amsterdam - De Aker (Noord-Holland),,
2022-08-26,1,Amsterdam - Rembrandtpark (Noord-Holland),52.3681503,4.8442021
2022-08-18,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2022-08-18,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2022-08-08,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2022-07-08,1,Amsterdam - Gaasperpark (Noord-Holland),,
2022-07-08,1,Amsterdam - De Aker (Noord-Holland),,
2022-06-08,1,Amsterdam - Slotervaart (Noord-Holland),52.3483923,4.8411914
2022-04-08,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2022-07-08,1,Amsterdamse Bos - Radarterrein (Noord-Holland),,
2022-02-08,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-07-30,1,Amsterdam - Alblardgracht (Noord-Holland),,
2022-07-30,1,Amsterdam - Alblardgracht (Noord-Holland),,
2022-07-26,1,A10 - Amsterdam (Noord-Holland),,
2022-07-21,1,Amsterdam - Groot-Duivendrechtsche Polder (Noord-Holland),,
2022-07-20,1,Amsterdam - Zuidoost (Noord-Holland),,
2022-09-07,2,Amsterdam - NT Klarenbeek (Noord-Holland),,
2022-04-07,2,Amsterdam - Sloterpark (Noord-Holland),,
2022-03-07,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2022-06-29,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2022-12-06,1,Amsterdam - NT Klarenbeek (Noord-Holland),,
2022-03-06,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
